Activity ID;Activity Name;Activity Type;Assignee;Called Process Instance ID;Called Case Instance ID;Canceled;Complete Scope;Duration In Millis;End Time;Execution ID;ID;Parent Activity Instance ID;Process Definition ID;Process Instance ID;Start Time;Task ID;Tenant ID;Removal Time;Root Process Instance ID
AND1;;parallelGateway;;;;False;False;1;2023-06-27T18:41:07.567+0200;6a29b0af-1509-11ee-abee-38fc98f283c6;AND1:6a32b162-1509-11ee-abee-38fc98f283c6;6a29b0af-1509-11ee-abee-38fc98f283c6;Process_0k6uh9k:2:6a13909e-1509-11ee-abee-38fc98f283c6;6a29b0af-1509-11ee-abee-38fc98f283c6;2023-06-27T18:41:07.566+0200;;;2023-06-28T18:41:07.586+0200;6a29b0af-1509-11ee-abee-38fc98f283c6
AND2;;parallelGateway;;;;False;False;5;2023-06-27T18:41:07.575+0200;6a32ff83-1509-11ee-abee-38fc98f283c6;AND2:6a334da6-1509-11ee-abee-38fc98f283c6;6a29b0af-1509-11ee-abee-38fc98f283c6;Process_0k6uh9k:2:6a13909e-1509-11ee-abee-38fc98f283c6;6a29b0af-1509-11ee-abee-38fc98f283c6;2023-06-27T18:41:07.570+0200;;;2023-06-28T18:41:07.586+0200;6a29b0af-1509-11ee-abee-38fc98f283c6
AND2;;parallelGateway;;;;False;False;12;2023-06-27T18:41:07.584+0200;6a32ff84-1509-11ee-abee-38fc98f283c6;AND2:6a339bca-1509-11ee-abee-38fc98f283c6;6a29b0af-1509-11ee-abee-38fc98f283c6;Process_0k6uh9k:2:6a13909e-1509-11ee-abee-38fc98f283c6;6a29b0af-1509-11ee-abee-38fc98f283c6;2023-06-27T18:41:07.572+0200;;;2023-06-28T18:41:07.586+0200;6a29b0af-1509-11ee-abee-38fc98f283c6
AND2;;parallelGateway;;;;False;False;10;2023-06-27T18:41:07.584+0200;6a29b0af-1509-11ee-abee-38fc98f283c6;AND2:6a33e9ec-1509-11ee-abee-38fc98f283c6;6a29b0af-1509-11ee-abee-38fc98f283c6;Process_0k6uh9k:2:6a13909e-1509-11ee-abee-38fc98f283c6;6a29b0af-1509-11ee-abee-38fc98f283c6;2023-06-27T18:41:07.574+0200;;;2023-06-28T18:41:07.586+0200;6a29b0af-1509-11ee-abee-38fc98f283c6
Sprawdzenie_tematu;Sprawdzenie tematu;task;;;;False;False;0;2023-06-27T18:41:07.566+0200;6a29b0af-1509-11ee-abee-38fc98f283c6;Sprawdzenie_tematu:6a328a51-1509-11ee-abee-38fc98f283c6;6a29b0af-1509-11ee-abee-38fc98f283c6;Process_0k6uh9k:2:6a13909e-1509-11ee-abee-38fc98f283c6;6a29b0af-1509-11ee-abee-38fc98f283c6;2023-06-27T18:41:07.566+0200;;;2023-06-28T18:41:07.586+0200;6a29b0af-1509-11ee-abee-38fc98f283c6
kolokwium_zapowiedziane;kolokwium zapowiedziane;startEvent;;;;False;False;4;2023-06-27T18:41:07.564+0200;6a29b0af-1509-11ee-abee-38fc98f283c6;kolokwium_zapowiedziane:6a31c700-1509-11ee-abee-38fc98f283c6;6a29b0af-1509-11ee-abee-38fc98f283c6;Process_0k6uh9k:2:6a13909e-1509-11ee-abee-38fc98f283c6;6a29b0af-1509-11ee-abee-38fc98f283c6;2023-06-27T18:41:07.560+0200;;;2023-06-28T18:41:07.586+0200;6a29b0af-1509-11ee-abee-38fc98f283c6
kolowkium_napisane;napisanie kolowium;task;;;;False;False;0;2023-06-27T18:41:07.585+0200;6a29b0af-1509-11ee-abee-38fc98f283c6;kolowkium_napisane:6a35979d-1509-11ee-abee-38fc98f283c6;6a29b0af-1509-11ee-abee-38fc98f283c6;Process_0k6uh9k:2:6a13909e-1509-11ee-abee-38fc98f283c6;6a29b0af-1509-11ee-abee-38fc98f283c6;2023-06-27T18:41:07.585+0200;;;2023-06-28T18:41:07.586+0200;6a29b0af-1509-11ee-abee-38fc98f283c6
koniec;;noneEndEvent;;;;False;True;0;2023-06-27T18:41:07.585+0200;6a29b0af-1509-11ee-abee-38fc98f283c6;koniec:6a35979e-1509-11ee-abee-38fc98f283c6;6a29b0af-1509-11ee-abee-38fc98f283c6;Process_0k6uh9k:2:6a13909e-1509-11ee-abee-38fc98f283c6;6a29b0af-1509-11ee-abee-38fc98f283c6;2023-06-27T18:41:07.585+0200;;;2023-06-28T18:41:07.586+0200;6a29b0af-1509-11ee-abee-38fc98f283c6
nauka_praktyki;nauka praktyki;task;;;;False;False;1;2023-06-27T18:41:07.574+0200;6a3374b8-1509-11ee-abee-38fc98f283c6;nauka_praktyki:6a33c2db-1509-11ee-abee-38fc98f283c6;6a29b0af-1509-11ee-abee-38fc98f283c6;Process_0k6uh9k:2:6a13909e-1509-11ee-abee-38fc98f283c6;6a29b0af-1509-11ee-abee-38fc98f283c6;2023-06-27T18:41:07.573+0200;;;2023-06-28T18:41:07.586+0200;6a29b0af-1509-11ee-abee-38fc98f283c6
nauka_teorii;nauka teorii;task;;;;False;False;1;2023-06-27T18:41:07.572+0200;6a32ff84-1509-11ee-abee-38fc98f283c6;nauka_teorii:6a3374b9-1509-11ee-abee-38fc98f283c6;6a29b0af-1509-11ee-abee-38fc98f283c6;Process_0k6uh9k:2:6a13909e-1509-11ee-abee-38fc98f283c6;6a29b0af-1509-11ee-abee-38fc98f283c6;2023-06-27T18:41:07.571+0200;;;2023-06-28T18:41:07.586+0200;6a29b0af-1509-11ee-abee-38fc98f283c6
