Activity ID;Activity Name;Activity Type;Assignee;Called Process Instance ID;Called Case Instance ID;Canceled;Complete Scope;Duration In Millis;End Time;Execution ID;ID;Parent Activity Instance ID;Process Definition ID;Process Instance ID;Start Time;Task ID;Tenant ID;Removal Time;Root Process Instance ID
Activity_08u60dl;choose recipie;task;;;;False;False;0;2023-06-23T11:05:04.521+0200;0ae63916-11a5-11ee-a976-38fc98f283c6;Activity_08u60dl:0ae66028-11a5-11ee-a976-38fc98f283c6;0ae63916-11a5-11ee-a976-38fc98f283c6;Process_0nx8f11:1:09254f35-11a5-11ee-a976-38fc98f283c6;0ae63916-11a5-11ee-a976-38fc98f283c6;2023-06-23T11:05:04.521+0200;;;2023-06-24T11:05:04.526+0200;0ae63916-11a5-11ee-a976-38fc98f283c6
Activity_0ef1veq;eat meal;task;;;;False;False;0;2023-06-23T11:05:04.526+0200;0ae63916-11a5-11ee-a976-38fc98f283c6;Activity_0ef1veq:0ae72385-11a5-11ee-a976-38fc98f283c6;0ae63916-11a5-11ee-a976-38fc98f283c6;Process_0nx8f11:1:09254f35-11a5-11ee-a976-38fc98f283c6;0ae63916-11a5-11ee-a976-38fc98f283c6;2023-06-23T11:05:04.526+0200;;;2023-06-24T11:05:04.526+0200;0ae63916-11a5-11ee-a976-38fc98f283c6
Activity_0l9z5ah;cook meat;task;;;;False;False;0;2023-06-23T11:05:04.523+0200;0ae6ae4f-11a5-11ee-a976-38fc98f283c6;Activity_0l9z5ah:0ae6ae52-11a5-11ee-a976-38fc98f283c6;0ae63916-11a5-11ee-a976-38fc98f283c6;Process_0nx8f11:1:09254f35-11a5-11ee-a976-38fc98f283c6;0ae63916-11a5-11ee-a976-38fc98f283c6;2023-06-23T11:05:04.523+0200;;;2023-06-24T11:05:04.526+0200;0ae63916-11a5-11ee-a976-38fc98f283c6
Activity_12kxhmj;cook potatoes;task;;;;False;False;0;2023-06-23T11:05:04.523+0200;0ae6873b-11a5-11ee-a976-38fc98f283c6;Activity_12kxhmj:0ae6ae50-11a5-11ee-a976-38fc98f283c6;0ae63916-11a5-11ee-a976-38fc98f283c6;Process_0nx8f11:1:09254f35-11a5-11ee-a976-38fc98f283c6;0ae63916-11a5-11ee-a976-38fc98f283c6;2023-06-23T11:05:04.523+0200;;;2023-06-24T11:05:04.526+0200;0ae63916-11a5-11ee-a976-38fc98f283c6
Activity_14h4x8a;prepare salad;task;;;;False;False;1;2023-06-23T11:05:04.523+0200;0ae6873a-11a5-11ee-a976-38fc98f283c6;Activity_14h4x8a:0ae6873c-11a5-11ee-a976-38fc98f283c6;0ae63916-11a5-11ee-a976-38fc98f283c6;Process_0nx8f11:1:09254f35-11a5-11ee-a976-38fc98f283c6;0ae63916-11a5-11ee-a976-38fc98f283c6;2023-06-23T11:05:04.522+0200;;;2023-06-24T11:05:04.526+0200;0ae63916-11a5-11ee-a976-38fc98f283c6
Event_1rsl1pa;hunger satisfied;noneEndEvent;;;;False;True;0;2023-06-23T11:05:04.526+0200;0ae63916-11a5-11ee-a976-38fc98f283c6;Event_1rsl1pa:0ae72386-11a5-11ee-a976-38fc98f283c6;0ae63916-11a5-11ee-a976-38fc98f283c6;Process_0nx8f11:1:09254f35-11a5-11ee-a976-38fc98f283c6;0ae63916-11a5-11ee-a976-38fc98f283c6;2023-06-23T11:05:04.526+0200;;;2023-06-24T11:05:04.526+0200;0ae63916-11a5-11ee-a976-38fc98f283c6
Gateway_01bqnwv;;parallelGateway;;;;False;False;0;2023-06-23T11:05:04.521+0200;0ae63916-11a5-11ee-a976-38fc98f283c6;Gateway_01bqnwv:0ae66029-11a5-11ee-a976-38fc98f283c6;0ae63916-11a5-11ee-a976-38fc98f283c6;Process_0nx8f11:1:09254f35-11a5-11ee-a976-38fc98f283c6;0ae63916-11a5-11ee-a976-38fc98f283c6;2023-06-23T11:05:04.521+0200;;;2023-06-24T11:05:04.526+0200;0ae63916-11a5-11ee-a976-38fc98f283c6
Gateway_05epqv6;desired dish;parallelGateway;;;;False;False;0;2023-06-23T11:05:04.523+0200;0ae6873b-11a5-11ee-a976-38fc98f283c6;Gateway_05epqv6:0ae6ae4e-11a5-11ee-a976-38fc98f283c6;0ae63916-11a5-11ee-a976-38fc98f283c6;Process_0nx8f11:1:09254f35-11a5-11ee-a976-38fc98f283c6;0ae63916-11a5-11ee-a976-38fc98f283c6;2023-06-23T11:05:04.523+0200;;;2023-06-24T11:05:04.526+0200;0ae63916-11a5-11ee-a976-38fc98f283c6
Gateway_0rnrnya;;parallelGateway;;;;False;False;2;2023-06-23T11:05:04.525+0200;0ae6873a-11a5-11ee-a976-38fc98f283c6;Gateway_0rnrnya:0ae6ae4d-11a5-11ee-a976-38fc98f283c6;0ae63916-11a5-11ee-a976-38fc98f283c6;Process_0nx8f11:1:09254f35-11a5-11ee-a976-38fc98f283c6;0ae63916-11a5-11ee-a976-38fc98f283c6;2023-06-23T11:05:04.523+0200;;;2023-06-24T11:05:04.526+0200;0ae63916-11a5-11ee-a976-38fc98f283c6
Gateway_0rnrnya;;parallelGateway;;;;False;False;0;2023-06-23T11:05:04.525+0200;0ae63916-11a5-11ee-a976-38fc98f283c6;Gateway_0rnrnya:0ae6fc74-11a5-11ee-a976-38fc98f283c6;0ae63916-11a5-11ee-a976-38fc98f283c6;Process_0nx8f11:1:09254f35-11a5-11ee-a976-38fc98f283c6;0ae63916-11a5-11ee-a976-38fc98f283c6;2023-06-23T11:05:04.525+0200;;;2023-06-24T11:05:04.526+0200;0ae63916-11a5-11ee-a976-38fc98f283c6
